cell_id,grid_x,grid_y,area_km2,building_count,building_footprint_m2,median_building_footprint_m2,building_footprint_share,building_density_km2,poi_count,poi_density_km2,poi_healthcare,poi_healthcare_density_km2,poi_education,poi_education_density_km2,poi_food_drink,poi_food_drink_density_km2,poi_retail_markets,poi_retail_markets_density_km2,poi_transport,poi_transport_density_km2,poi_civic_religious,poi_civic_religious_density_km2,poi_recreation_culture,poi_recreation_culture_density_km2,poi_other,poi_other_density_km2,distance_healthcare_m,distance_education_m,distance_market_m,distance_park_m,distance_transport_m,landuse_residential_share,landuse_commercial_share,landuse_industrial_share,landuse_institutional_share,landuse_green_share,landuse_transport_share,landuse_other_share,mapped_landuse_share,road_length_km,road_density_km_km2,intersection_count,intersection_density_km2,cell_neighbor_count,cell_degree_centrality,cell_betweenness_centrality,cluster_id,pca_1,pca_2,urban_class,walk_node,walk_snap_distance_m,walk_distance_healthcare_m,walk_minutes_healthcare,walk_unreachable_healthcare,walk_distance_education_m,walk_minutes_education,walk_unreachable_education,walk_distance_market_m,walk_minutes_market,walk_unreachable_market,walk_distance_park_m,walk_minutes_park,walk_unreachable_park,walk_distance_transport_m,walk_minutes_transport,walk_unreachable_transport,walk_healthcare_10min_count,walk_healthcare_15min_count,walk_healthcare_30min_count,walk_education_10min_count,walk_education_15min_count,walk_education_30min_count,walk_market_10min_count,walk_market_15min_count,walk_market_30min_count,walk_park_10min_count,walk_park_15min_count,walk_park_30min_count,walk_transport_10min_count,walk_transport_15min_count,walk_transport_30min_count,drive_node,drive_minutes_healthcare,walk_drive_ratio_healthcare,drive_minutes_education,walk_drive_ratio_education,drive_minutes_market,walk_drive_ratio_market,drive_minutes_park,walk_drive_ratio_park,drive_minutes_transport,walk_drive_ratio_transport,built_intensity_proxy,service_gap_score,service_desert_score,largest_service_gap,walk_unreachable_service_count,heat_exposure_score,air_exposure_score,green_deficit_score,environmental_burden_score
C000_010,0,10,0.19717,304.0,20147.763268,31.837432,0.102185,1541.816818,3,15.215298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15.215298,2491.511834,429.450659,924.619164,501.490344,429.450659,0.291702,0.0,0.258511,0.0,0.0,0.0,0.0,0.550213,1.178239,5.975752,3,15.215298,3,0.004673,0.0,1,-3.411812,-3.55041,Cluster 1 · market-distant / service-light,38234,1968.0933,6123.972945,76.549662,False,1968.0933,24.601166,False,3428.980793,42.86226,False,1968.0933,24.601166,False,1968.0933,24.601166,False,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,3270180428,3.800569,20.141632,3.208012,7.668665,1.806886,23.721623,0.0,,4.03253,6.100678,63.193364,84.972784,66.20741,healthcare,0,43.305,51.361,61.392,50.646
C000_011,0,11,0.33823,561.0,20738.914742,26.659169,0.061316,1658.635568,2,5.913139,0,0.0,0,0.0,0,0.0,1,2.95657,0,0.0,0,0.0,0,0.0,1,2.95657,2834.405535,465.943956,128.634776,393.645789,466.009617,0.236085,0.0,0.167517,0.0,0.0,0.0,0.0,0.403602,2.82733,8.359198,10,29.565696,5,0.007788,0.000512,1,-2.660902,-2.388206,Cluster 1 · market-distant / service-light,11657,1316.641455,5245.555734,65.569447,False,2777.528949,34.719112,False,1316.641455,16.458018,False,2777.528949,34.719112,False,2777.528949,34.719112,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5657753120,7.474632,8.772265,3.026595,11.471344,0.0,,0.0,,5.300967,6.549581,60.86055,84.895023,64.958556,education,0,41.905,55.373,58.126,50.674
C000_012,0,12,0.327572,64.0,5532.09658,24.239159,0.016888,195.377181,2,6.105537,0,0.0,0,0.0,0,0.0,1,3.052768,0,0.0,0,0.0,0,0.0,1,3.052768,2956.122542,1170.172727,652.809765,1090.542384,1170.249057,0.0,0.0,0.253587,0.0,0.0,0.0,0.0,0.253587,1.882125,5.745691,8,24.422148,5,0.007788,0.000773,1,-4.076805,-1.983759,Cluster 1 · market-distant / service-light,11657,606.23793,4535.152208,56.689403,False,2067.125423,25.839068,False,606.23793,7.577974,False,2067.125423,25.839068,False,2067.125423,25.839068,False,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5657753120,7.474632,7.58424,3.026595,8.537339,0.0,,0.0,,5.300967,4.874406,21.79886,80.093313,42.512982,education,0,24.067,37.123,71.135,40.404
C000_013,0,13,0.316913,25.0,2087.074123,70.817946,0.006586,78.885947,1,3.155438,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.155438,2805.360778,1063.59939,1356.386853,1829.94791,1684.636026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545854,1.722407,0,0.0,5,0.007788,0.000937,1,-5.241907,-0.917339,Cluster 1 · market-distant / service-light,38229,262.73045,4237.79387,52.972423,False,1606.319951,20.078999,False,2336.55853,29.206982,False,2867.82365,35.847796,False,2799.500034,34.99375,False,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,5657753120,7.474632,7.086961,3.026595,6.634188,0.0,,0.0,,5.300967,6.60139,16.925868,84.758942,42.511289,healthcare,0,15.428,15.949,77.014,31.007
C000_014,0,14,0.306255,102.0,13927.089569,47.996685,0.045475,333.055861,2,6.530507,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.530507,2478.543516,369.450421,1257.309436,2575.507133,1642.49229,0.0,0.0,0.214801,0.0,0.0,0.0,0.0,0.214801,2.585553,8.442486,7,22.856775,5,0.007788,0.001045,1,-4.153577,-2.200945,Cluster 1 · market-distant / service-light,11649,123.39763,3533.72615,44.171577,False,902.252232,11.278153,False,1632.49081,20.406135,False,2185.538802,27.319235,False,2095.432314,26.192904,False,0,0,0,0,2,9,0,0,9,0,0,1,0,0,2,3521870864,4.787078,9.227252,0.339042,33.264778,1.832261,11.137132,3.291041,8.301091,2.613414,10.022485,28.849145,78.003499,44.703405,healthcare,0,34.012,44.051,80.062,49.038
C000_015,0,15,0.295597,21.0,5548.691367,33.782623,0.018771,71.042757,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2268.850557,508.711931,1564.279296,2657.481062,1919.02691,0.0,0.0,0.23056,0.0,0.0,0.0,0.0,0.23056,1.118992,3.785536,0,0.0,5,0.007788,0.001115,1,-5.318289,-1.359792,Cluster 1 · market-distant / service-light,37599,538.45368,4168.891172,52.11114,False,538.45368,6.730671,False,2267.655833,28.345698,False,3065.445802,38.318073,False,2730.597337,34.132467,False,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,3521870864,4.787078,10.885792,0.339042,19.852034,1.832261,15.470336,3.291041,11.643145,2.613414,13.060489,19.569725,78.664463,40.702437,healthcare,0,20.747,29.969,80.117,38.817
C000_016,0,16,0.284938,27.0,7423.746622,39.557358,0.026054,94.757342,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2297.235015,1227.266484,2106.706765,2723.655416,2406.792184,0.0,0.0,0.358061,0.0,0.0,0.0,0.0,0.358061,0.842237,2.955857,2,7.019062,5,0.007788,0.001153,1,-5.402158,-1.788711,Cluster 1 · market-distant / service-light,37599,1254.857174,4885.294666,61.066183,False,1254.857174,15.685715,False,2984.059327,37.300742,False,3781.849296,47.273116,False,3447.000831,43.08751,False,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,3521870864,4.787078,12.756462,0.339042,46.264829,1.832261,20.357764,3.291041,14.364181,2.613414,16.487058,21.280456,83.057932,43.828237,healthcare,0,21.967,29.751,80.28,39.27
C000_017,0,17,0.27428,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2555.7769,1969.436262,2057.390218,2788.765598,2853.16711,0.0,0.0,0.0,0.0,0.0,0.0,0.463498,0.463498,1.435231,5.23272,3,10.937726,5,0.007788,0.001162,1,-5.757263,-0.499792,Cluster 1 · market-distant / service-light,37599,1996.121657,5626.559149,70.331989,False,1996.121657,24.951521,False,3725.323809,46.566548,False,4523.113778,56.538922,False,4188.265313,52.353316,False,0,0,0,2,2,2,0,0,1,0,0,0,0,0,0,3521870864,4.787078,14.692049,0.339042,73.594213,1.832261,25.414797,3.291041,17.179644,2.613414,20.032538,11.430793,85.526827,40.076568,healthcare,0,13.433,18.682,80.389,32.009
C000_018,0,18,0.263622,48.0,2684.732024,52.786854,0.010184,182.079055,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2985.264374,1966.560469,1505.13981,2239.987485,3038.013365,0.0,0.0,0.0,0.0,0.0,0.0,0.70508,0.70508,0.526645,1.99773,2,7.586627,5,0.007788,0.001138,1,-5.31606,-1.350505,Cluster 1 · market-distant / service-light,37361,2517.946308,3924.211168,49.05264,False,2980.311125,37.253889,False,2517.946308,31.474329,False,3083.591493,38.544894,False,3591.491507,44.893644,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4430164365,2.428422,20.19939,1.009667,36.897189,0.0,,1.165061,33.08401,2.024306,22.177297,19.932608,86.372473,44.878761,education,0,17.97,18.569,78.81,33.39
C000_019,0,19,0.252963,135.0,7946.856124,50.359787,0.031415,533.673913,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3031.395098,1684.428517,1192.953546,1491.985183,3154.042733,0.0,0.0,0.0,0.0,0.0,0.0,0.062689,0.062689,0.178603,0.706042,0,0.0,5,0.007788,0.001071,1,-5.432913,-1.210523,Cluster 1 · market-distant / service-light,37361,2521.977598,3928.242458,49.103031,False,2984.342415,37.30428,False,2521.977598,31.52472,False,3087.622782,38.595285,False,3595.522796,44.944035,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4430164365,2.428422,20.22014,1.009667,36.947098,0.0,,1.165061,33.127261,2.024306,22.20219,29.212027,86.450233,49.732413,education,0,25.715,22.154,75.327,36.872
