rank,node_from,node_to,pressure_score,route_count,road_class,names
1,22057,22058,99.420052,920,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': [['bn', 'নতুন বিমানবন্দর সড়ক'], ['en', 'New Airport Road']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': None, 'side': None}]}"
2,22058,22067,99.420052,920,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': [['bn', 'নতুন বিমানবন্দর সড়ক'], ['en', 'New Airport Road']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': None, 'side': None}]}"
3,22067,24316,99.420052,920,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': [['bn', 'নতুন বিমানবন্দর সড়ক'], ['en', 'New Airport Road']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': None, 'side': None}]}"
4,24298,24316,99.420052,920,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': [['bn', 'নতুন বিমানবন্দর সড়ক'], ['en', 'New Airport Road']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': None, 'side': None}]}"
5,24181,24290,98.961679,909,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': [['bn', 'নতুন বিমানবন্দর সড়ক'], ['en', 'New Airport Road']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': None, 'side': None}]}"
6,24290,24298,98.961679,909,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': [['bn', 'নতুন বিমানবন্দর সড়ক'], ['en', 'New Airport Road']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': None, 'side': None}]}"
7,24053,24142,97.758071,886,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': [['bn', 'নতুন বিমানবন্দর সড়ক'], ['en', 'New Airport Road']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': None, 'side': None}]}"
8,24142,24181,97.758071,886,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': [['bn', 'নতুন বিমানবন্দর সড়ক'], ['en', 'New Airport Road']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': None, 'side': None}]}"
9,22053,22057,95.973,858,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': [['bn', 'নতুন বিমানবন্দর সড়ক'], ['en', 'New Airport Road']], 'rules': [{'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': None, 'side': None}]}"
10,22053,34866,95.973,858,trunk,"{'primary': 'নতুন বিমানবন্দর সড়ক', 'common': None, 'rules': [{'variant': 'common', 'language': 'en', 'perspectives': None, 'value': 'Airport Circle', 'between': [0.0, 0.069714401], 'side': None}, {'variant': 'common', 'language': None, 'perspectives': None, 'value': 'বিমানবন্দর গোলচক্কর', 'between': [0.0, 0.069714401], 'side': None}, {'variant': 'common', 'language': 'bn', 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': [0.069714401, 1.0], 'side': None}, {'variant': 'common', 'language': 'en', 'perspectives': None, 'value': 'New Airport Road', 'between': [0.069714401, 1.0], 'side': None}, {'variant': 'common', 'language': None, 'perspectives': None, 'value': 'নতুন বিমানবন্দর সড়ক', 'between': [0.069714401, 1.0], 'side': None}]}"
