rank,node_id,betweenness,degree,street_names,latitude,longitude
1,2320185607,0.12977106673161226,4,কাজী নজরুল ইসলাম এভিনিউ,23.7459183,90.3945913
2,10055950381,0.12029956161714564,3,আউটার সার্কুলার রোড | পুরাতন এলিফ্যান্ট রোড,23.74888,90.408023
3,2320185593,0.1200332846241273,4,বীর উত্তম সিআর দত্ত সড়ক,23.7459888,90.3926948
4,3565102297,0.11829030686799805,3,,23.7285699,90.4041139
5,3006301708,0.11750647962765966,3,,23.7297989,90.4049874
6,13573902168,0.11531579801915895,3,সৈয়দ কামরুজ্জামান সরণী,23.7238976,90.4003145
7,5002782908,0.10978567949342426,3,বাবুপাড়া | মিরপুর রোড,23.7328706,90.3850269
8,5002782907,0.10976457217080694,3,মিরপুর রোড,23.732845,90.3850376
9,2320185600,0.1034973209936678,4,কাজী নজরুল ইসলাম এভিনিউ | কাজী নজরুল ইসলাম সরণী | নতুন ইস্কাটন রোড,23.745957,90.3947461
10,364127855,0.09943903231044,4,আজিমপুর কবরস্থান সড়ক,23.7311193,90.3802862
11,871707389,0.09691264815716837,3,Greenway Road | পুরাতন এলিফ্যান্ট রোড,23.7512052,90.4093632
12,3015242205,0.0961617145640526,3,তোপখানা রোড,23.7298072,90.4053049
13,3015242211,0.09614791362234129,3,,23.7297674,90.4052561
14,7031917622,0.0951971745402356,3,Malibagh Mouchak Flyover | আউটার সার্কুলার রোড,23.7489933,90.4077386
15,2320177508,0.09517048222113979,3,,23.7457949,90.3937298
16,3341584387,0.09277804838447799,4,"কাঁটাবন রোড | নিউ এলিফ্যান্ট রোড | বীর উত্তম সিআর দত্ত সড়ক, হাতিরপুল | শাহবাগ রোড",23.7388328,90.3909327
17,3014743475,0.09241191751907778,3,তোপখানা রোড,23.7300397,90.4053151
18,4319229845,0.09223737619743465,3,Segunbagicha Road | তোপখানা রোড,23.7300908,90.4063607
19,3462990445,0.09222519889592466,4,Kazi Alauddin Road | কাজি আলাউদ্দিন সড়ক | সৈয়দ কামরুজ্জামান সরণী,23.7231534,90.4055213
20,5790708033,0.08852735833739243,4,Hasanabad Apartment Road | পুরাতন এলিফ্যান্ট রোড,23.7498494,90.4085674
21,871718252,0.08807192726091898,3,Bepari Goli | পুরাতন এলিফ্যান্ট রোড,23.75076,90.4090867
22,1756866737,0.08784948855333657,4,Pirpagla Goli | Shonalibagh | পুরাতন এলিফ্যান্ট রোড,23.7516276,90.4096194
23,3341584388,0.08745981490501704,4,কাঁটাবন রোড | নিউ এলিফ্যান্ট রোড | শাহবাগ রোড,23.7387539,90.3909009
24,2426201320,0.08520701412566975,3,Majed Sarkar Road | সৈয়দ কামরুজ্জামান সরণী,23.7237986,90.4007558
25,4899062115,0.08469881474265303,4,Segunbagicha Road,23.7335557,90.4064524
26,10010667873,0.08463143367429778,3,নতুন ইস্কাটন রোড,23.7472556,90.3993742
27,10008721051,0.0841881798993343,3,BIAM Road | নতুন ইস্কাটন রোড,23.746922,90.3981741
28,4967387955,0.08412972885208637,3,Malibagh Mouchak Flyover | নতুন ইস্কাটন রোড,23.7473146,90.3995968
29,6559096648,0.08395681117064459,3,নতুন ইস্কাটন রোড,23.7464344,90.3964665
30,11398595656,0.08387400552037669,3,নতুন ইস্কাটন রোড,23.7465242,90.3967975
