cell_id,grid_x,grid_y,area_km2,building_count,building_footprint_m2,median_building_footprint_m2,building_footprint_share,building_density_km2,poi_count,poi_density_km2,poi_healthcare,poi_healthcare_density_km2,poi_education,poi_education_density_km2,poi_food_drink,poi_food_drink_density_km2,poi_retail_markets,poi_retail_markets_density_km2,poi_transport,poi_transport_density_km2,poi_civic_religious,poi_civic_religious_density_km2,poi_recreation_culture,poi_recreation_culture_density_km2,poi_other,poi_other_density_km2,distance_healthcare_m,distance_education_m,distance_market_m,distance_park_m,distance_transport_m,landuse_residential_share,landuse_commercial_share,landuse_industrial_share,landuse_institutional_share,landuse_green_share,landuse_transport_share,landuse_other_share,mapped_landuse_share,road_length_km,road_density_km_km2,intersection_count,intersection_density_km2,cell_neighbor_count,cell_degree_centrality,cell_betweenness_centrality,cluster_id,pca_1,pca_2,urban_class
C000_010,0,10,0.19717,304.0,20147.763268,31.837432,0.102185,1541.816818,3,15.215298,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,15.215298,2491.511834,429.450659,924.619164,501.490344,429.450659,0.291702,0.0,0.258511,0.0,0.0,0.0,0.0,0.550213,1.178239,5.975752,3,15.215298,3,0.004673,0.0,1,-3.411812,-3.55041,Cluster 1 · market-distant / service-light
C000_011,0,11,0.33823,561.0,20738.914742,26.659169,0.061316,1658.635568,2,5.913139,0,0.0,0,0.0,0,0.0,1,2.95657,0,0.0,0,0.0,0,0.0,1,2.95657,2834.405535,465.943956,128.634776,393.645789,466.009617,0.236085,0.0,0.167517,0.0,0.0,0.0,0.0,0.403602,2.82733,8.359198,10,29.565696,5,0.007788,0.000512,1,-2.660902,-2.388206,Cluster 1 · market-distant / service-light
C000_012,0,12,0.327572,64.0,5532.09658,24.239159,0.016888,195.377181,2,6.105537,0,0.0,0,0.0,0,0.0,1,3.052768,0,0.0,0,0.0,0,0.0,1,3.052768,2956.122542,1170.172727,652.809765,1090.542384,1170.249057,0.0,0.0,0.253587,0.0,0.0,0.0,0.0,0.253587,1.882125,5.745691,8,24.422148,5,0.007788,0.000773,1,-4.076805,-1.983759,Cluster 1 · market-distant / service-light
C000_013,0,13,0.316913,25.0,2087.074123,70.817946,0.006586,78.885947,1,3.155438,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.155438,2805.360778,1063.59939,1356.386853,1829.94791,1684.636026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.545854,1.722407,0,0.0,5,0.007788,0.000937,1,-5.241907,-0.917339,Cluster 1 · market-distant / service-light
C000_014,0,14,0.306255,102.0,13927.089569,47.996685,0.045475,333.055861,2,6.530507,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,6.530507,2478.543516,369.450421,1257.309436,2575.507133,1642.49229,0.0,0.0,0.214801,0.0,0.0,0.0,0.0,0.214801,2.585553,8.442486,7,22.856775,5,0.007788,0.001045,1,-4.153577,-2.200945,Cluster 1 · market-distant / service-light
C000_015,0,15,0.295597,21.0,5548.691367,33.782623,0.018771,71.042757,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2268.850557,508.711931,1564.279296,2657.481062,1919.02691,0.0,0.0,0.23056,0.0,0.0,0.0,0.0,0.23056,1.118992,3.785536,0,0.0,5,0.007788,0.001115,1,-5.318289,-1.359792,Cluster 1 · market-distant / service-light
C000_016,0,16,0.284938,27.0,7423.746622,39.557358,0.026054,94.757342,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2297.235015,1227.266484,2106.706765,2723.655416,2406.792184,0.0,0.0,0.358061,0.0,0.0,0.0,0.0,0.358061,0.842237,2.955857,2,7.019062,5,0.007788,0.001153,1,-5.402158,-1.788711,Cluster 1 · market-distant / service-light
C000_017,0,17,0.27428,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2555.7769,1969.436262,2057.390218,2788.765598,2853.16711,0.0,0.0,0.0,0.0,0.0,0.0,0.463498,0.463498,1.435231,5.23272,3,10.937726,5,0.007788,0.001162,1,-5.757263,-0.499792,Cluster 1 · market-distant / service-light
C000_018,0,18,0.263622,48.0,2684.732024,52.786854,0.010184,182.079055,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2985.264374,1966.560469,1505.13981,2239.987485,3038.013365,0.0,0.0,0.0,0.0,0.0,0.0,0.70508,0.70508,0.526645,1.99773,2,7.586627,5,0.007788,0.001138,1,-5.31606,-1.350505,Cluster 1 · market-distant / service-light
C000_019,0,19,0.252963,135.0,7946.856124,50.359787,0.031415,533.673913,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3031.395098,1684.428517,1192.953546,1491.985183,3154.042733,0.0,0.0,0.0,0.0,0.0,0.0,0.062689,0.062689,0.178603,0.706042,0,0.0,5,0.007788,0.001071,1,-5.432913,-1.210523,Cluster 1 · market-distant / service-light
C000_020,0,20,0.242305,28.0,1465.846635,38.615913,0.00605,115.55676,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3000.768324,1033.046222,1306.11311,748.061908,3253.305808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.240375,5.11906,2,8.254054,5,0.007788,0.000936,1,-4.808962,-1.352952,Cluster 1 · market-distant / service-light
C000_021,0,21,0.227696,395.0,24643.393435,48.042512,0.108229,1734.769314,1,4.391821,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.391821,3131.987853,659.394218,1713.034792,145.630996,2870.465763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.274752,5.598481,6,26.350926,5,0.007788,0.000679,1,-3.589493,-2.080863,Cluster 1 · market-distant / service-light
C000_022,0,22,0.071607,11.0,793.426452,53.086794,0.01108,153.617325,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3349.201608,437.6802,2261.981068,673.478333,2166.049381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.363754,5.079897,0,0.0,3,0.004673,0.0,1,-5.087593,-2.2881,Cluster 1 · market-distant / service-light
C001_009,1,9,0.211316,150.0,7237.354621,31.488479,0.034249,709.835763,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1644.792966,1194.69431,1311.901968,1025.89783,1194.69431,0.085742,0.0,0.253212,0.0,0.0,0.0,0.0,0.338954,0.994574,4.706561,4,18.928954,3,0.004673,0.0,1,-4.536099,-3.274465,Cluster 1 · market-distant / service-light
C001_010,1,10,0.557989,86.0,9752.702428,49.090147,0.017478,154.124944,11,19.713656,0,0.0,2,3.584301,0,0.0,2,3.584301,1,1.792151,0,0.0,0,0.0,6,10.752903,2085.7223,468.810111,1052.838396,532.503477,468.810111,0.0,0.0,0.243894,0.0,0.0,0.0,0.0,0.243894,2.998518,5.373796,5,8.960753,7,0.010903,0.002527,5,-2.976584,-0.538357,Cluster 5 · limited retail / low building coverage
C001_011,1,11,0.5625,78.0,9232.66464,42.967047,0.016414,138.666667,5,8.888889,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.777778,1,1.777778,3,5.333333,2261.247818,530.767519,685.688002,484.577837,530.826834,0.0,0.0,0.240783,0.0,0.0,0.0,0.0,0.240783,2.295271,4.080482,5,8.888889,8,0.012461,0.004476,5,-3.213319,0.214606,Cluster 5 · limited retail / low building coverage
C001_012,1,12,0.5625,39.0,10141.940751,32.790749,0.01803,69.333333,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2399.938597,1198.902146,937.35283,1128.012715,1198.977379,0.0,0.0,0.305833,0.0,0.0,0.0,0.0,0.305833,1.844833,3.279703,3,5.333333,8,0.012461,0.00504,4,-4.661186,0.261893,Cluster 4 · road-sparse / intersection-sparse
