node_from,node_to,min_elevation_m,length_m,inundation_frequency
22,35775,1.41,97.8,3
23,35776,1.44,69.0,3
24,27,1.48,136.4,3
25,27,1.48,53.5,3
27,35777,1.21,16.4,3
35791,67,1.4,13.7,3
89,90,1.4,22.3,3
93,95,1.26,80.9,3
114,95,1.26,80.8,3
95,97,1.26,69.4,3
96,97,1.47,81.1,3
151,202,1.47,80.3,3
158,196,1.3,34.9,3
159,35817,1.41,81.2,3
159,35818,1.41,111.7,3
159,167,1.41,93.9,3
178,179,1.44,37.6,3
179,180,1.44,206.4,3
179,182,1.44,78.2,3
179,194,1.44,94.9,3
195,196,1.31,172.4,3
196,221,1.31,76.5,3
200,220,1.35,153.1,3
202,207,1.31,84.5,3
202,211,1.32,34.9,3
203,35832,1.24,5.2,3
203,204,1.32,8.0,3
204,206,1.44,19.4,3
204,205,1.36,9.5,3
205,208,1.3,30.7,3
207,208,1.3,11.5,3
207,212,1.31,44.3,3
208,213,1.3,35.4,3
211,216,1.32,40.8,3
211,220,1.32,68.0,3
215,35835,1.34,31.5,3
220,252,1.35,115.6,3
232,252,1.26,32.3,3
232,251,1.24,89.0,3
232,303,1.22,101.1,3
233,311,1.3,96.1,3
233,249,1.3,15.2,3
233,247,1.3,73.2,3
247,309,1.3,55.0,3
247,250,1.28,65.6,3
250,319,1.28,40.1,3
250,304,1.28,24.3,3
255,299,1.38,137.0,3
255,290,1.47,5.2,3
269,290,1.47,135.6,3
